nd,nf,la,ld,ndev,nuc,contains_bug
13,15,129,52,2,8,FALSE
4,4,18,4,2,4,TRUE
3,3,98,3,2,1,FALSE
3,3,25,42,2,3,FALSE
1,1,1,1,2,1,FALSE
5,5,11,3,2,5,FALSE
5,6,277,71,2,5,FALSE
6,7,166,40,2,5,FALSE
1,1,5,0,2,1,FALSE
4,4,58,21,2,3,FALSE
1,1,4,3,2,1,FALSE
1,1,24,16,1,1,FALSE
39,78,897,963,2,15,TRUE
1,1,2,0,2,1,FALSE
2,2,157,520,2,1,FALSE
4,7,176,79,2,2,FALSE
2,2,16,14,2,1,FALSE
29,86,3570,4241,2,19,TRUE
34,58,1476,1419,2,6,TRUE
4,4,280,93,2,2,TRUE
1,1,2,3,2,1,FALSE
56,123,4178,947,2,19,TRUE
18,30,73,553,2,9,FALSE
9,13,384,44,1,6,FALSE
49,132,6680,3605,1,25,TRUE
12,16,28,26,1,1,FALSE
3,3,9,2,1,2,FALSE
6,6,132,50,1,1,FALSE
1,1,1,1,1,1,FALSE
1,1,7,22,1,1,FALSE
13,16,248,60,1,4,FALSE
5,5,153,55,1,2,FALSE
84,208,4410,4087,1,43,TRUE
2,2,50,3,1,2,FALSE
3,4,247,111,1,3,FALSE
2,2,19,13,1,2,FALSE
1,1,26,7,1,1,FALSE
1,1,1,2,1,1,FALSE
10,13,589,7,1,5,FALSE
2,3,44,3,1,3,FALSE
1,1,12,9,1,1,FALSE
3,3,77,41,1,2,FALSE
2,2,5,4,1,1,FALSE
4,5,22,25,1,3,FALSE
1,1,13,0,1,1,FALSE
7,12,630,12,1,7,TRUE
4,4,24,12,1,2,FALSE
10,13,60,77,1,9,FALSE
7,11,194,129,1,3,TRUE
4,6,54,6,1,4,FALSE
1,1,21,8,1,1,FALSE
53,116,2278,1302,1,23,FALSE
1,1,17,9,1,1,FALSE
2,2,2,2,1,1,FALSE
14,26,597,647,1,4,FALSE
32,70,3267,938,1,29,FALSE
9,9,27,27,1,7,FALSE
2,2,39,10,1,2,FALSE
4,4,10,4,1,4,FALSE
25,28,171,101,1,12,FALSE
6,8,70,28,1,5,TRUE
1,1,3,3,1,1,FALSE
1,1,4,4,1,1,FALSE
1,1,3,0,1,1,FALSE
1,1,12,3,1,1,FALSE
3,3,6,4,1,3,FALSE
1,1,5,0,1,1,FALSE
1,1,1,1,1,1,FALSE
1,1,7,1,1,1,FALSE
3,4,49,21,1,3,TRUE
1,1,11,3,1,1,FALSE
5,5,25,2,1,3,FALSE
13,18,253,116,1,11,FALSE
3,3,17,5,1,3,FALSE
13,15,107,67,1,9,FALSE
6,8,130,88,1,6,FALSE
1,2,39,37,1,2,FALSE
1,1,25,8,1,1,FALSE
1,1,3,3,1,1,FALSE
1,1,8,2,1,1,FALSE
1,1,0,1,1,1,FALSE
3,3,15,4,1,3,FALSE
2,2,2,2,1,2,FALSE
2,2,4,12,1,1,FALSE
5,5,17,17,1,1,FALSE
1,1,1,1,1,1,FALSE
1,1,3,2,1,1,FALSE
2,2,2,2,1,2,FALSE
13,16,38,39,1,6,FALSE
1,1,6,0,1,1,FALSE
2,3,27,21,1,1,FALSE
1,1,1,1,1,1,FALSE
1,1,22,3,1,1,FALSE
1,1,1,0,1,1,FALSE
2,2,3,2,1,2,FALSE
2,2,3,9,1,2,FALSE
2,2,3,3,1,2,FALSE
1,1,1,1,1,1,FALSE
2,5,25,5,1,3,FALSE
1,1,1,1,1,1,FALSE
1,1,1,1,1,1,FALSE
6,13,114,63,1,6,FALSE
27,33,3608,1413,1,6,FALSE
1,1,55,16,1,1,FALSE
3,3,10,45,1,3,FALSE
1,1,4,1,1,1,FALSE
1,1,2,1,1,1,FALSE
4,4,13,14,1,2,FALSE
4,4,11,14,1,3,FALSE
3,4,57,5,1,3,FALSE
5,5,87,22,1,4,FALSE
2,2,59,49,1,2,FALSE
2,2,16,6,1,2,FALSE
4,4,24,3,1,3,FALSE
2,4,2376,1,1,1,FALSE
2,2,2,2,1,2,FALSE
6,9,149,30,1,4,TRUE
10,14,487,18,1,5,TRUE
1,1,4,0,1,1,FALSE
1,1,1,1,1,1,FALSE
12,18,256,47,1,8,TRUE
14,19,255,91,1,5,FALSE
15,22,203,1379,1,9,TRUE
26,33,176,109,5,10,FALSE
13,18,208,70,1,4,FALSE
1,1,7,7,1,1,TRUE
10,12,73,35,1,3,TRUE
162,449,5473,8082,,,TRUE
16,28,30,45,1,4,FALSE
1,1,2,0,1,1,FALSE
1,1,3,1,1,1,FALSE
9,9,367,10,1,5,TRUE
12,19,151,172,1,7,TRUE
2,2,2,1,1,2,FALSE
1,1,5,1,1,1,FALSE
4,7,140,0,0,0,FALSE
19,26,970,90,1,9,TRUE
60,110,2503,1081,1,5,TRUE
10,11,44,66,1,2,TRUE
2,2,2,1,1,2,FALSE
2,2,1,3,1,2,FALSE
12,14,108,28,1,2,TRUE
1,1,12,0,1,1,FALSE
231,959,122555,0,,,TRUE
123,536,11,87696,,,FALSE
1,1,5,4,5,1,FALSE
1,1,8,1,3,1,FALSE
1,1,15,4,3,1,FALSE
2,2,30,10,4,2,FALSE
1,1,11,8,2,1,FALSE
1,1,53,19,3,1,FALSE
1,1,6,4,2,1,FALSE
1,2,2,0,2,2,FALSE
14,26,19,1551,4,16,FALSE
1,1,2,2,4,1,FALSE
1,1,1,1,3,1,FALSE
4,4,5,5,5,3,FALSE
263,1127,65132,85362,,,FALSE
1,1,22,21,2,1,FALSE
3,3,43,8,4,2,FALSE
2,2,2,12,4,2,FALSE
1,1,1,1,4,1,FALSE
1,1,8,2,3,1,FALSE
264,1126,85247,65098,,,FALSE
1,1,1,1,4,1,FALSE
1,1,1,1,4,1,FALSE
6,11,59,19,4,8,TRUE
4,4,4,4,1,2,FALSE
3,3,21,6,1,3,FALSE
4,5,45,28,4,3,FALSE
2,2,63,31,1,2,FALSE
1,1,1,1,1,1,FALSE
1,1,3,0,4,1,FALSE
12,12,2963,674,1,4,FALSE
1,1,16,9,4,1,FALSE
1,1,45,45,4,1,FALSE
1,2,12,16,4,2,FALSE
2,2,5,15,2,2,FALSE
2,2,13,13,1,2,FALSE
3,3,11,5,1,3,FALSE
2,2,54,27,4,2,TRUE
1,2,31,17,1,1,FALSE
1,2,17,3,1,2,FALSE
1,1,4,3,4,1,FALSE
2,2,25,15,1,1,FALSE
2,2,7,5,1,2,FALSE
1,1,9,6,1,1,FALSE
1,1,7,2,4,1,TRUE
2,2,46,7,4,2,FALSE
3,4,56,47,4,3,FALSE
1,1,1,1,1,1,FALSE
1,1,15,8,2,1,TRUE
1,1,2,2,1,1,FALSE
1,1,107,107,4,1,FALSE
2,2,2,5,4,1,FALSE
1,1,6,0,1,1,FALSE
3,3,4,4,3,2,FALSE
6,6,70,43,4,4,FALSE
4,6,107,13,4,6,FALSE
4,10,686,174,5,4,TRUE
1,1,2,1,1,1,FALSE
4,6,307,492,5,4,TRUE
4,4,14,10,1,4,TRUE
1,1,3,0,3,1,FALSE
22,78,644,180,4,21,TRUE
3,3,19,19,4,3,FALSE
2,2,20,7,1,1,FALSE
18,35,2013,700,4,14,TRUE
20,29,1556,315,4,13,TRUE
3,3,14,1,4,1,FALSE
1,2,36,46,1,1,TRUE
2,5,64,18,1,1,TRUE
9,13,1615,24,5,4,TRUE
19,49,4431,1097,4,18,TRUE
1,1,1,1,4,1,FALSE
5,8,94,26,4,7,FALSE
4,7,11,11,5,2,FALSE
1,1,11,4,1,1,FALSE
1,1,2,2,4,1,FALSE
1,2,8,7,4,2,FALSE
1,1,6,3,3,1,FALSE
2,2,27,2,4,2,FALSE
1,1,1,1,2,1,FALSE
4,4,4,4,4,2,FALSE
1,1,2,1,1,1,FALSE
4,4,6,6,4,4,FALSE
19,25,1,35,4,17,FALSE
5,5,11,5,4,4,FALSE
3,3,18,18,1,1,FALSE
2,2,5,3,2,2,FALSE
1,1,1,1,4,1,FALSE
3,8,21,36,4,7,FALSE
3,3,38,9,4,3,FALSE
2,2,13,6,2,2,FALSE
2,3,8,5,4,2,TRUE
9,9,2579,217,2,2,FALSE
1,1,24,20,1,1,FALSE
1,1,33,11,4,1,FALSE
1,2,17,2,3,2,FALSE
1,2,8,11,1,2,FALSE
1,1,1,1,1,1,FALSE
1,1,6,1,1,1,TRUE
2,6,104,100,4,4,FALSE
1,1,5,1,3,1,FALSE
21,31,24,62,4,14,FALSE
1,1,2,2,1,1,FALSE
9,15,100,14,4,9,TRUE
4,4,47,6,4,4,TRUE
2,2,4,3,4,2,FALSE
1,1,1,0,1,1,FALSE
12,14,206,53,4,10,FALSE
2,2,2,1,4,2,FALSE
28,35,69,400,4,25,FALSE
4,4,18,22,4,4,FALSE
1,2,12,4,1,2,FALSE
1,1,3,10,1,1,FALSE
4,4,43,18,4,3,FALSE
1,1,5,1,1,1,FALSE
1,1,1,1,4,1,FALSE
2,2,9,1,2,2,FALSE
2,2,15,1,1,1,FALSE
39,69,3049,156,5,25,TRUE
4,6,174,59,4,6,FALSE
11,16,911,24,4,8,TRUE
4,9,224,71,4,4,TRUE
2,2,116,1,3,1,TRUE
2,2,18,11,4,2,TRUE
2,3,6,190,1,3,FALSE
1,1,17,8,1,1,FALSE
1,1,11,0,1,1,TRUE
1,1,2,0,1,1,FALSE
3,4,51,8,4,3,FALSE
16,53,4683,498,5,12,TRUE
4,6,11,8,1,4,FALSE
1,1,1,1,1,1,FALSE
2,2,14,7,1,2,FALSE
3,3,3,3,4,1,FALSE
4,4,9,5,4,4,FALSE
11,37,1570,524,4,8,TRUE
11,47,644,337,4,17,TRUE
1,4,18,164,1,3,FALSE
9,29,1538,931,4,7,TRUE
13,39,2144,529,4,6,TRUE
7,9,164,16,4,4,TRUE
3,4,106,51,4,2,TRUE
17,47,2812,213,4,13,TRUE
10,26,899,104,4,7,TRUE
11,34,2950,270,4,5,TRUE
7,12,759,7,4,4,FALSE
5,7,141,16,4,3,TRUE
9,17,1954,28,4,10,TRUE
2,3,5,5,5,2,FALSE
1,1,2,2,2,1,FALSE
2,3,5,3,4,3,FALSE
1,1,12,2,2,1,FALSE
1,1,0,1,4,1,FALSE
1,1,1,1,4,1,FALSE
1,1,6,1,1,1,FALSE
1,1,3,1,3,1,FALSE
5,6,40,8,1,5,FALSE
2,2,26,12,4,2,FALSE
1,2,6,11,4,2,FALSE
1,1,282,121,1,1,FALSE
2,2,15,15,1,1,FALSE
1,1,3,4,1,1,FALSE
12,18,69,5,4,12,FALSE
2,3,843,2,4,1,FALSE
1,1,1,1,4,1,FALSE
3,3,18,5,1,3,FALSE
2,2,26,17,1,2,FALSE
1,1,19,1,4,1,FALSE
5,5,60,28,4,5,FALSE
1,1,5,5,1,1,FALSE
2,2,3,3,4,2,FALSE
3,3,16,5,4,2,FALSE
1,1,34,27,3,1,FALSE
1,1,55,95,4,1,FALSE
1,1,12,9,3,1,TRUE
10,10,55,23,4,8,FALSE
1,1,1,1,4,1,FALSE
2,2,7,2,4,2,FALSE
7,12,318,220,4,7,TRUE
6,8,36,6,4,5,FALSE
20,31,233,176,4,12,TRUE
2,2,14,6,4,2,FALSE
2,2,2,1,4,2,FALSE
6,6,120,13,4,2,FALSE
18,29,449,147,4,10,TRUE
1,1,1,1,1,1,FALSE
2,2,3,3,4,1,FALSE
4,4,33,6,4,3,FALSE
16,47,155,228,4,24,TRUE
3,4,127,6,4,2,TRUE
29,44,229,302,4,20,TRUE
1,1,1,1,1,1,FALSE
10,11,121,99,4,2,FALSE
2,3,6,44,4,2,TRUE
2,3,6,7,4,2,FALSE
1,1,8,0,4,1,TRUE
2,2,39,22,3,2,FALSE
12,14,249,109,4,8,FALSE
1,2,12,55,1,2,FALSE
2,3,409,18,3,2,TRUE
2,3,75,49,4,3,FALSE
5,6,67,59,2,4,TRUE
3,3,23,6,1,3,TRUE
1,2,3,7,1,1,FALSE
3,3,37,79,4,3,FALSE
3,5,11,11,4,4,FALSE
1,1,2,1,4,1,FALSE
11,15,677,51,4,4,TRUE
29,46,2415,1711,4,12,TRUE
6,10,140,85,5,7,TRUE
7,11,1137,14,4,4,FALSE
4,5,109,28,4,4,FALSE
12,16,207,130,4,7,FALSE
6,9,74,16,4,6,TRUE
1,1,4,4,4,1,FALSE
1,1,0,15,1,1,FALSE
2,2,24,6,4,2,FALSE
38,62,531,650,4,11,TRUE
2,2,20,5,1,2,FALSE
6,6,74,14,4,4,FALSE
6,7,94,20,4,4,FALSE
1,1,4,3,4,1,FALSE
10,18,308,326,4,6,FALSE
9,13,265,79,4,7,FALSE
11,21,160,157,4,8,FALSE
58,180,10397,3406,4,11,TRUE
9,13,424,157,4,4,FALSE
3,4,12,23,3,3,FALSE
5,5,41,11,4,2,TRUE
22,36,191,165,4,4,TRUE
10,22,273,625,4,5,TRUE
49,138,5483,2758,5,22,TRUE
3,4,429,1,3,1,FALSE
5,10,273,150,4,5,FALSE
7,11,125,32,4,7,FALSE
1,1,40,0,4,1,FALSE
4,5,50,7,4,4,FALSE
22,65,1140,113,4,3,TRUE
46,162,12321,4912,4,35,TRUE
3,7,655,6,4,2,FALSE
2,2,3,3,4,1,FALSE
4,4,50,23,4,4,FALSE
1,1,6,0,3,1,FALSE
3,7,5,634,4,2,FALSE
1,1,2,3,3,1,FALSE
1,1,0,6,3,1,FALSE
1,1,6,0,3,1,FALSE
1,1,0,6,3,1,FALSE
1,1,6,12,3,1,TRUE
1,1,3,2,3,1,FALSE
3,7,634,5,4,3,TRUE
1,1,1,1,3,1,FALSE
1,1,23,2,2,1,FALSE
1,1,1,0,4,1,FALSE
1,1,2,0,3,1,FALSE
1,1,1,1,2,1,FALSE
1,1,1,1,2,1,FALSE
1,1,5,1,3,1,FALSE
1,1,1,1,4,1,FALSE
11,16,16,25,4,11,FALSE
1,1,23,12,4,1,FALSE
2,2,107,11,4,2,TRUE
1,1,6,2,1,1,FALSE
1,1,78,45,3,1,FALSE
2,2,10,3,3,1,FALSE
1,1,3,3,3,1,FALSE
1,1,21,4,3,1,FALSE
1,6,71,66,3,3,FALSE
1,1,4,4,4,1,FALSE
8,9,526,118,4,7,FALSE
2,2,42,7,4,1,FALSE
15,35,195,193,4,11,TRUE
1,1,1,1,4,1,TRUE
4,7,27,17,4,3,TRUE
1,1,3,1,3,1,TRUE
1,1,1,1,3,1,FALSE
1,1,0,6,3,1,FALSE
2,2,8,2,4,2,TRUE
1,1,3,3,2,1,FALSE
2,2,31,1,4,2,FALSE
1,1,80,43,1,1,FALSE
3,3,19,1,4,3,FALSE
1,1,60,38,4,1,FALSE
2,4,164,80,4,3,TRUE
31,73,555,1085,4,28,TRUE
2,3,32,4,4,3,FALSE
8,10,78,75,3,5,FALSE
11,17,734,456,3,13,TRUE
18,31,2389,323,3,12,TRUE
1,1,2,6,3,1,FALSE
5,6,219,28,3,5,TRUE
1,2,7,2,2,2,FALSE
1,2,3,7,2,2,FALSE
2,2,2,2,3,2,FALSE
1,1,4,0,3,1,FALSE
3,3,24,0,3,2,FALSE
2,2,31,5,3,2,FALSE
3,4,16,38,3,4,FALSE
5,11,35,27,3,4,TRUE
6,6,72,44,3,3,TRUE
8,9,339,162,3,4,TRUE
1,1,1,1,3,1,FALSE
11,15,596,310,3,3,TRUE
11,22,1292,52,3,13,TRUE
4,9,138,214,3,5,TRUE
5,6,233,70,3,3,TRUE
6,7,44,5,3,4,TRUE
16,38,2094,169,3,16,TRUE
2,3,5,6,1,1,FALSE
1,1,1,1,3,1,FALSE
9,20,1072,114,3,7,FALSE
2,2,11,13,2,2,FALSE
7,12,275,152,3,8,FALSE
8,9,91,29,3,7,TRUE
1,1,2,1,1,1,FALSE
1,1,2,0,1,1,FALSE
4,4,39,42,3,4,FALSE
1,1,1,1,1,1,FALSE
