nd,nf,la,ld,ndev,nuc,contains_bug
1,1,1,1,22,1,FALSE
2,2,20,18,22,26,FALSE
1,2,4,6,22,11,FALSE
34,198,7910,3667,22,139,FALSE
1,1,11,3,22,28,FALSE
3,3,3,1,22,335,FALSE
1,2,6,1,22,91,TRUE
19,74,1708,35,22,158,TRUE
4,7,17,8,22,79,FALSE
1,3,0,0,22,1,FALSE
3,3,3,3,22,21,FALSE
1,1,4,9,22,84,FALSE
1,1,18,0,22,15,TRUE
4,4,8,8,22,434,FALSE
3,3,146,137,22,16,FALSE
2,2,2,2,22,5,FALSE
8,11,78,57,22,18,FALSE
3,4,104,35,22,24,FALSE
9,22,283,236,22,324,TRUE
4,5,20,11,22,34,FALSE
1,2,8,3,22,15,FALSE
5,34,118,96,22,498,TRUE
13,41,464,728,22,213,FALSE
3,5,69,50,22,36,TRUE
1,1,29,29,22,14,TRUE
16,70,1499,1288,22,1868,TRUE
5,5,11,5,22,476,FALSE
3,9,410,411,22,176,TRUE
1,1,5,11,22,135,FALSE
2,2,2,2,22,59,FALSE
1,1,1,1,22,6,FALSE
1,1,4,1,22,1,FALSE
7,12,468,233,22,759,TRUE
1,1,1,1,22,35,FALSE
1,1,1,1,22,43,FALSE
2,4,70,5,22,103,FALSE
5,6,2039,5,22,23,FALSE
1,1,1,1,22,35,FALSE
6,20,69,567,22,102,FALSE
2,2,11,11,22,37,FALSE
1,1,335,285,22,81,TRUE
5,9,243,278,22,184,FALSE
1,1,1,1,22,33,FALSE
1,1,7,3,22,6,FALSE
12,20,61,360,22,211,TRUE
0,0,0,0,0,0,TRUE
9,10,59,4,22,46,FALSE
1,1,4,5,22,150,FALSE
1,1,1,1,22,31,FALSE
1,1,24,13,22,60,FALSE
3,3,224,99,22,191,TRUE
1,1,1,1,22,29,FALSE
4,9,54,20,22,402,TRUE
6,8,120,4,22,564,TRUE
2,2,36,11,22,138,TRUE
1,1,0,12,22,18,FALSE
11,35,101,29,22,167,TRUE
13,59,257,321,22,469,TRUE
4,5,68,41,22,484,TRUE
1,1,5,0,22,41,FALSE
14,88,757,838,22,1755,TRUE
6,9,334,1,22,472,TRUE
7,8,166,19,22,659,TRUE
3,3,10,2,22,166,TRUE
6,7,59,42,22,361,FALSE
1,1,2,1,22,19,TRUE
1,1,2,2,22,18,TRUE
1,2,42,12,22,31,FALSE
1,1,4,4,22,132,FALSE
2,3,6,3,22,38,FALSE
4,8,198,210,22,356,TRUE
1,1,0,2,22,34,FALSE
1,2,11,1,22,45,TRUE
9,22,43,573,22,296,FALSE
2,20,3,3,22,54,FALSE
2,2,4,1,22,6,FALSE
11,16,694,656,22,435,FALSE
4,5,17,6,22,403,FALSE
1,1,1,1,22,37,FALSE
43,371,28452,27934,22,229,TRUE
1,1,1,1,22,1,FALSE
4,5,48,39,22,376,TRUE
1,3,73,15,22,52,TRUE
2,2,3,33,22,5,FALSE
3,4,28,3,22,402,FALSE
1,1,66,0,22,35,TRUE
1,1,3,3,22,95,FALSE
2,3,30,14,22,11,FALSE
1,1,213,0,1,0,FALSE
10,15,16,295,22,58,FALSE
4,8,202,16,22,603,TRUE
2,26,85,62,22,420,TRUE
2,43,1190,878,22,376,TRUE
4,9,120,88,22,343,FALSE
7,229,207,88,22,138,FALSE
9,20,247,180,22,167,TRUE
1,1,1,1,22,19,FALSE
1,1,28,2,22,95,FALSE
1,1,90,0,1,0,FALSE
3,3,5,8,22,157,FALSE
1,1,0,160,22,1,FALSE
4,4,60,3,22,422,TRUE
4,5,366,1,22,410,FALSE
1,1,1,1,22,9,FALSE
1,1,1,1,22,8,FALSE
1,1,28,7,22,11,TRUE
2,2,2,3,22,86,FALSE
5,6,119,45,22,329,TRUE
8,10,3868,3603,20,8,FALSE
1,1,5,5,22,280,FALSE
1,1,1,1,22,279,FALSE
1,2,2,2,22,23,FALSE
2,2,26,31,22,79,FALSE
7,13,1891,22,22,448,FALSE
1,1,238,0,1,0,TRUE
2,3,6,3,22,151,TRUE
4,4,14,0,22,316,FALSE
3,3,3,1,22,370,FALSE
8,14,294,167,22,650,TRUE
3,3,13,9,22,319,FALSE
1,1,75,0,22,10,TRUE
1,1,3,0,22,128,FALSE
4,4,24,33,22,123,TRUE
4,4,48,8,22,121,TRUE
1,1,22,10,1,1,TRUE
1,1,211,0,1,0,TRUE
12,12,123,71,22,656,FALSE
4,4,33,6,22,408,TRUE
1,1,35,16,22,90,FALSE
1,1,15,2,22,9,TRUE
2,3,125,45,22,143,TRUE
1,2,5,0,22,34,TRUE
1,1,0,3,22,14,FALSE
1,2,10,10,22,179,FALSE
1,1,28,2,22,32,TRUE
5,8,38,5,22,551,FALSE
2,6,24,16,22,108,TRUE
1,1,1,1,22,34,FALSE
11,13,126,24,22,729,TRUE
21,21,126,61,22,817,TRUE
4,10,189,81,22,413,TRUE
3,4,6,0,22,94,FALSE
2,2,7,7,22,41,TRUE
